Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,1977186,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,12.13846345,2.023077242,659062.0,1140908.796,1976470,319,1977186,659062.0,1140908.796,1976470,319,0,0.0,0.0,0,0,0,0,0,0,80,0,2.023077242,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,82121306,8,5,56,11607,20,0,7.0,5.656854249,5840,0,2321.4,3173.373883,142.0216089,0.158302402,6843442.167,22700000.0,78800000,2,80700000,11500000.0,29700000.0,78800000,3,1463709,365927.25,731197.2442,1462723,2,0,0,0,0,172,112,0.097416863,0.060885539,0,5840,833.5,2103.115592,4423095.192,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1856990.0,0.0,1856990,1856990,78800000.0,0.0,78800000,78800000,DDoS
80,415481,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,27998.87359,16.84794251,69246.83333,169128.2061,414478,9,853,426.5,532.4514062,803,50,415341,138447.0,239050.2316,414478,9,0,0,0,0,72,92,7.220546788,9.627395717,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,784085,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,14828.74943,10.20297544,112012.1429,294685.3839,780292,44,3029,1514.5,1963.635531,2903,126,784001,196000.25,389529.8296,780292,190,0,0,0,0,72,112,3.826115791,6.376859652,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,195,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,841025.641,20512.82051,65.0,28.58321186,98,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,40,10256.41026,10256.41026,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,691218,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,16829.71219,13.02049426,86402.25,243878.2969,689970,3,859,429.5,433.4564569,736,123,691173,138234.6,308429.7099,689970,3,0,0,0,0,72,132,4.340164753,8.680329505,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
443,56917713,29,23,8787,8521,819,0,303.0,365.1783322,1460,0,370.4782609,468.3537775,304.088114,0.913599603,1116033.588,2934548.629,10000000,4,47300000,1688351.5,3500432.233,10100000,238,56800000,2581777.5,4147424.639,10100000,4,0,0,0,0,592,520,0.509507471,0.404092132,0,1460,326.5660377,409.6636289,167824.2888,0,0,0,1,0,0,0,0,0,332.8461538,303.0,370.4782609,592,0,0,0,0,0,0,29,8787,23,8521,8192,376,28,20,1499832.4,3089317.195,7026171,118145,9883709.4,205693.6643,10000000,9525531,BENIGN
80,4146920,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.234284722,1.20571412,1036730.0,2072786.054,4145909,3,4146920,1036730.0,2072786.054,4145909,3,0,0.0,0.0,0,0,0,0,0,0,100,0,1.20571412,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,99511150,8,6,56,11601,20,0,7.0,5.656854249,5840,0,1933.5,2189.772933,117.1426519,0.140687752,7654703.846,26500000.0,95700000,1,98400000,14100000.0,36000000.0,95700000,1,1094882,218976.4,484784.3176,1086165,45,0,0,0,0,172,132,0.080393001,0.060294751,0,5840,777.5333333,1633.102694,2667024.41,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,2666925.0,0.0,2666925,2666925,95700000.0,0.0,95700000,95700000,DDoS
80,8149632,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.944918249,0.490819708,2716544.0,4704351.32,8148661,348,8149632,2716544.0,4704351.32,8148661,348,0,0.0,0.0,0,0,0,0,0,0,80,0,0.490819708,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,971.0,0.0,971,971,8148661.0,0.0,8148661,8148661,DDoS
80,769732,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,15105.25741,11.69238124,96216.5,265361.2997,752802,16,16602,8301.0,11445.23036,16394,208,769657,153931.4,334855.2191,752802,16,0,0,0,0,72,132,3.897460415,7.79492083,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
24392,42187,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,853.343447,142.2239078,8437.4,9834.4908,24030,3,0,0.0,0.0,0,0,36534,9133.5,11212.75662,24030,3,0,0,0,0,20,100,23.70398464,118.5199232,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,77,2,2,54,128,27,27,27.0,0.0,64,64,64.0,0.0,2363636.364,51948.05195,25.66666667,41.00406484,73,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,80,25974.02597,25974.02597,27,64,41.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,52.25,27.0,64.0,80,0,0,0,0,0,0,2,54,2,128,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58484,94697737,6,10,11607,68,7300,0,1934.5,2863.744245,20,0,6.8,5.006662228,123.287001,0.168958631,6313182.467,24100000.0,93400000,1,94700000,18900000.0,42300000.0,94700000,61,94700000,10500000.0,31100000.0,93400000,1,0,0,0,0,132,212,0.063359487,0.105599144,0,7300,687.1176471,1861.340239,3464587.485,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,132,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,1244556.0,0.0,1244556,1244556,93400000.0,0.0,93400000,93400000,BENIGN
80,440690,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,26397.24069,18.15335043,62955.71429,166085.0892,439601,4,961,480.5,471.6402231,814,147,440500,110125.0,219650.9678,439601,4,0,0,0,0,72,112,6.80750641,11.34584402,0,8675,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1134141,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,10257.10207,7.935521245,141767.625,400633.1639,1133284,2,699,349.5,424.9711755,650,49,1134093,226818.6,506729.6482,1133284,2,0,0,0,0,72,132,2.645173748,5.290347496,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
10170,32,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,31250.0,31250.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,913,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,9412783,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.549724136,0.424954023,3137594.333,5431855.879,9409761,4,9412783,3137594.333,5431855.879,9409761,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.424954023,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3022.0,0.0,3022,3022,9409761.0,0.0,9409761,9409761,DDoS
55144,90088904,8,10,11607,68,4380,0,1450.875,1559.504998,20,0,6.8,5.006662228,129.5942062,0.199802631,5299347.294,19500000.0,80600000,1,90100000,12900000.0,33900000.0,89800000,66,89900000,9984509.667,26700000.0,80600000,1,0,0,0,0,172,212,0.088801169,0.111001461,0,4380,614.7894737,1217.558239,1482448.064,0,0,0,0,1,1,0,0,1,648.9444444,1450.875,6.8,172,0,0,0,0,0,0,8,11607,10,68,229,256,6,20,25004.0,0.0,25004,25004,44900000.0,50500000.0,80600000,9207752,BENIGN
80,71461483,9,6,62,11601,20,0,6.888888889,5.30199124,5840,0,1933.5,2189.772933,163.2068005,0.209903285,5104391.643,17600000.0,66300000,1,70300000,8781750.5,23300000.0,66300000,1,1218350,243670.0,538551.1719,1207022,14,0,0,0,0,192,132,0.125941971,0.083961314,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,192,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,3967954.0,0.0,3967954,3967954,66300000.0,0.0,66300000,66300000,DDoS
53,163,2,2,84,116,42,42,42.0,0.0,58,58,58.0,0.0,1226993.865,24539.8773,54.33333333,54.77529857,112,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,12269.93865,12269.93865,42,58,48.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,60.5,42.0,58.0,64,0,0,0,0,0,0,2,84,2,116,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,117353235,18,14,907,5125,295,0,50.38888889,86.32778769,1398,0,366.0714286,544.9062678,51.40037256,0.272681022,3785588.226,14600000.0,58900000,3,117000000,6903131.471,19400000.0,58900000,4,117000000,9024466.231,22000000.0,59000000,3,0,0,0,0,584,456,0.153383075,0.119297947,0,1398,182.7878788,387.5375593,150185.3598,0,0,0,1,0,0,0,0,0,188.5,50.38888889,366.0714286,584,0,0,0,0,0,0,18,907,14,5125,29200,122,7,32,190211.5,160266.4591,303537,76886,58500000.0,644785.2179,58900000,58000000,BENIGN
53,60527,4,2,112,168,28,28,28.0,0.0,84,84,84.0,0.0,4626.034662,99.12931419,12105.4,16872.53156,34870,3,34876,11625.33333,20130.47184,34870,3,48,48.0,0.0,48,48,0,0,0,0,80,40,66.08620946,33.04310473,28,84,44.0,27.32520204,746.6666667,0,0,0,0,0,0,0,0,0,51.33333333,28.0,84.0,80,0,0,0,0,0,0,4,112,2,168,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,97550374,8,5,56,11601,20,0,7.0,5.656854249,7300,0,2320.2,3022.508098,119.4972353,0.133264481,8129197.833,27600000.0,95800000,5,95800000,13700000.0,36200000.0,95800000,5,1774182,443545.5,876434.4102,1758155,192,0,0,0,0,172,112,0.082008912,0.05125557,0,7300,833.0714286,2033.250541,4134107.764,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,17923.0,0.0,17923,17923,95800000.0,0.0,95800000,95800000,DDoS
443,63499756,7,2,187,92,46,6,26.71428571,20.0890873,46,46,46.0,0.0,4.39371767,0.141732828,7937469.5,20400000.0,58300000,3,63500000,10600000.0,23500000.0,58300000,3,58400000,58400000.0,0.0,58400000,58400000,1,0,0,0,140,40,0.110236644,0.031496184,6,46,32.5,18.86354509,355.8333333,0,1,0,0,1,0,0,0,0,36.11111111,26.71428571,46.0,140,0,0,0,0,0,0,7,187,2,92,649,4,6,20,93523.0,36.76955262,93549,93497,31600000.0,37700000.0,58300000,5000787,BENIGN
80,1238044,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,24.23177205,4.038628676,309511.0,618353.513,1237041,1,1238044,309511.0,618353.513,1237041,1,0,0.0,0.0,0,0,0,0,0,0,100,0,4.038628676,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,83962169,16,15,1359,5340,431,0,84.9375,171.7069087,1774,0,356.0,733.8886642,79.78593311,0.369213902,2798738.967,4265933.322,10000000,51,78900000,5258966.467,4817554.236,10000000,143,83900000,5995609.714,4499524.645,10000000,483,0,0,0,0,344,408,0.190562014,0.178651888,0,1774,209.34375,526.6026604,277310.3619,0,0,0,1,0,0,0,0,0,216.0967742,84.9375,356.0,344,0,0,0,0,0,0,16,1359,15,5340,8192,1013,14,20,1267112.143,2141645.116,4853676,23496,10000000.0,5279.875274,10000000,10000000,BENIGN
80,1810893,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,6420.589179,4.969923679,226361.625,635900.1463,1800110,17,10481,5240.5,7138.242956,10288,193,1810781,362156.2,803853.0552,1800110,17,0,0,0,0,72,132,1.656641226,3.313282452,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1124194,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2375.523332,10347.85811,8.005735665,140524.25,396972.9329,1122982,3,848,424.0,461.0336213,750,98,1124115,224823.0,502086.2538,1122982,3,0,0,0,0,72,132,2.668578555,5.33715711,0,5840,1163.3,2031.339572,4126340.456,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
